Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Product_Base_Margin,Customer_Name,Province,Region,Customer_Segment,Order_Date,Order_Priority,Product_Category,Product_Sub_Category,Order_ID,Ship_Mode,Ship_Date
56,6,74,41,26636,0.07,42,0.37,BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,2011-05-17,HIGH,OFFICE SUPPLIES,PAPER,8995,REGULAR AIR,2011-05-18
56,7,75,41,8941,0.01,46,0.83,BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,2011-05-17,HIGH,OFFICE SUPPLIES,RUBBER BANDS,8995,REGULAR AIR,2011-05-19
113,15,154,42,121198,0.01,7,0.59,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2009-06-22,HIGH,FURNITURE,CHAIRS & CHAIRMATS,18080,DELIVERY TRUCK,2009-06-23
147,15,197,42,963359,0.06,47,0.59,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2012-06-28,LOW,FURNITURE,CHAIRS & CHAIRMATS,24743,DELIVERY TRUCK,2012-07-05
147,15,198,42,375877,0,26,0.57,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2012-06-28,LOW,FURNITURE,CHAIRS & CHAIRMATS,24743,REGULAR AIR,2012-07-03
160,12,215,42,324,0.05,11,0.39,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2010-02-21,MEDIUM,OFFICE SUPPLIES,LABELS,26499,REGULAR AIR,2010-02-22
162,4,219,42,6109817,0.04,48,0.06,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2009-09-04,CRITICAL,TECHNOLOGY,TELEPHONES AND COMMUNICATION,26567,REGULAR AIR,2009-09-05
162,5,219,42,33852,0.21,22,0.39,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2009-09-04,CRITICAL,FURNITURE,OFFICE FURNISHINGS,26567,REGULAR AIR,2009-09-05
57,2,76,42,27997,0.04,47,0.55,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2009-11-17,MEDIUM,OFFICE SUPPLIES,APPLIANCES,9126,REGULAR AIR,2009-11-18
79,17,105,42,2207947,0.06,12,0.38,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2011-10-15,CRITICAL,TECHNOLOGY,OFFICE MACHINES,12419,REGULAR AIR,2011-10-17
162,8,218,42,9006,0.09,10,0.79,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2009-09-04,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,26567,EXPRESS AIR,2009-09-07
162,3,217,42,507,0.08,8,0.37,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2009-09-04,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,26567,REGULAR AIR,2009-09-04
200,3,273,42,24902,0.01,46,0.39,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2009-01-16,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,31781,REGULAR AIR,2009-01-17
200,7,273,42,7849,0.03,41,0.52,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2009-01-16,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,31781,REGULAR AIR,2009-01-17
291,9,393,42,68346,0.09,43,0.35,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2012-08-30,HIGH,OFFICE SUPPLIES,ENVELOPES,50565,REGULAR AIR,2012-08-30
322,4,429,42,10600605,0.01,47,0.56,SYLVIA FOULSTON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2010-09-24,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,57344,REGULAR AIR,2010-09-26
102,6,140,43,12821,0.05,19,0.37,BRYAN DAVIS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2012-08-05,MEDIUM,OFFICE SUPPLIES,PAPER,16423,REGULAR AIR,2012-08-07
305,12,410,43,18693,0.07,47,0.39,BRYAN DAVIS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2012-03-10,NOT SPECIFIED,OFFICE SUPPLIES,LABELS,53156,REGULAR AIR,2012-03-11
58,1,77,43,203956,0.04,7,0.08,BRYAN DAVIS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2011-10-10,NOT SPECIFIED,OFFICE SUPPLIES,STORAGE & ORGANIZATION,9127,EXPRESS AIR,2011-10-12
140,8,187,44,53166,0.08,26,0.48,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2010-08-26,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,24007,REGULAR AIR,2010-09-02
140,9,187,44,31785,0.06,28,0.35,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2010-08-26,LOW,OFFICE SUPPLIES,ENVELOPES,24007,REGULAR AIR,2010-09-02
140,12,188,44,16308,0.09,42,0.39,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2010-08-26,LOW,OFFICE SUPPLIES,LABELS,24007,REGULAR AIR,2010-08-30
59,15,78,44,1217582,0.02,36,0.57,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2012-10-07,NOT SPECIFIED,FURNITURE,CHAIRS & CHAIRMATS,9509,DELIVERY TRUCK,2012-10-08
59,6,80,44,158564,0.02,32,0.38,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2012-10-07,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,9509,REGULAR AIR,2012-10-07
59,6,79,44,10121,0.01,5,0.37,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2012-10-07,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,9509,EXPRESS AIR,2012-10-08
274,5,373,44,294,0,5,0.54,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2012-06-30,LOW,FURNITURE,OFFICE FURNISHINGS,46912,REGULAR AIR,2012-06-30
285,2,385,44,15235,0.07,26,0.59,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2009-03-06,MEDIUM,OFFICE SUPPLIES,APPLIANCES,49154,REGULAR AIR,2009-03-07
292,16,394,44,60022,0.08,50,0.06,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2011-12-16,CRITICAL,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",50688,REGULAR AIR,2011-12-17
121,8,164,45,114345,0.06,31,0.51,ALAN BARNES,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2009-01-11,HIGH,TECHNOLOGY,COMPUTER PERIPHERALS,19655,REGULAR AIR,2009-01-12
122,3,166,45,15267,0.04,11,0.04,ALAN BARNES,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2010-08-15,MEDIUM,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,19686,REGULAR AIR,2010-08-17
122,17,165,45,4231,0.06,2,0.04,ALAN BARNES,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2010-08-15,MEDIUM,TECHNOLOGY,OFFICE MACHINES,19686,REGULAR AIR,2010-08-15
135,9,182,45,3083,0.04,2,0.36,ALAN BARNES,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2010-05-18,HIGH,OFFICE SUPPLIES,ENVELOPES,22501,EXPRESS AIR,2010-05-19
139,17,186,45,267121,0.06,14,0.36,ALAN BARNES,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2012-03-12,CRITICAL,TECHNOLOGY,OFFICE MACHINES,23584,DELIVERY TRUCK,2012-03-14
209,13,285,45,3051,0.09,11,0.58,ALAN BARNES,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2012-10-06,MEDIUM,OFFICE SUPPLIES,PENS & ART SUPPLIES,33444,REGULAR AIR,2012-10-07
209,1,286,45,1278,0.07,8,0.57,ALAN BARNES,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,2012-10-06,MEDIUM,OFFICE SUPPLIES,STORAGE & ORGANIZATION,33444,REGULAR AIR,2012-10-08
